"","district","postcode","n","per_of_district","per_of_postcode"
"120","BATHURST","2849",1689,3.17660334775249,100
"121","BATHURST","2847",1552,2.91893925145759,100
"122","BATHURST","2848",1395,2.62365995862328,100
"123","BATHURST","2845",1146,2.15535076170773,100
"124","BATHURST","2798",1045,1.96539401918375,85.8668857847165
"125","BATHURST","2850",747,1.40492759074666,5.17958674247677
"126","BATHURST","2792",517,0.97235283054354,92.156862745098
"127","BATHURST","2791",484,0.910287756253526,100
"128","BATHURST","2797",379,0.712807974421666,98.6979166666667
"129","BATHURST","2846",353,0.663908218920444,100
"130","BATHURST","2786",124,0.233214218544292,7.92332268370607
"131","BATHURST","2580",65,0.122249388753056,0.301232737046992
"132","BATHURST","2785",49,0.0921572315215347,1.13979995347755
"133","BATHURST","2800",46,0.0865149520406244,0.163033847244374
"134","BEGA","2536",18293,28.1409122375202,98.3124630515398
"135","BEGA","2550",11971,18.4155064995,100
"136","BEGA","2537",11312,17.4017383278209,100
"137","BEGA","2546",9022,13.8789323898162,100
"138","BEGA","2548",7175,11.0376124913468,100
"139","BEGA","2551",3529,5.42881316821783,100
"140","BEGA","2549",2795,4.29966925621106,100
"141","BEGA","2545",841,1.29374663487424,100
"142","BEGA","2622",35,0.0538420121529113,0.820248418092337
"143","BEGA","2632",32,0.0492269825398046,1.06524633821571
"144","BLACKTOWN","2148",26722,63.0801189745527,79.5463340576906
"145","BLACKTOWN","2767",8524,20.1218072801095,100
"146","BLACKTOWN","2761",5105,12.0508946697512,42.6732424977012
"147","BLACKTOWN","2763",1958,4.62206694679194,14.8671222475323
"148","BLACKTOWN","2766",49,0.115669703979982,0.724530533786781
"149","BLACKTOWN","2765",4,0.00944242481469241,0.0152439024390244
"150","BLUE MOUNTAINS","2780",11442,24.3012488318749,100
"151","BLUE MOUNTAINS","2777",8726,18.5328349333107,100
"152","BLUE MOUNTAINS","2774",5726,12.161243734602,100
"153","BLUE MOUNTAINS","2785",4250,9.02642086483731,98.8602000465225
"154","BLUE MOUNTAINS","2782",4190,8.89898904086314,100
"155","BLUE MOUNTAINS","2773",2605,5.53266502421205,100
"156","BLUE MOUNTAINS","2779",2532,5.37762297171014,100
"157","BLUE MOUNTAINS","2776",1902,4.03958881998131,100
"158","BLUE MOUNTAINS","2783",1881,3.99498768159035,100
"159","BLUE MOUNTAINS","2786",1441,3.06048763911307,92.0766773162939
"160","BLUE MOUNTAINS","2778",1398,2.96916149859825,100
"161","BLUE MOUNTAINS","2784",868,1.84351372015971,100
"162","BLUE MOUNTAINS","2758",95,0.201767054625775,2.02213707960834
"163","BLUE MOUNTAINS","2787",28,0.0594681845212811,0.75942500678058
"164","CABRAMATTA","2166",17961,48.9173952120271,77.9828065300452
"165","CABRAMATTA","2176",13656,37.1925810932266,80.6234502302515
"166","CABRAMATTA","2170",3129,8.52193806683553,5.26218425212741
"167","CABRAMATTA","2177",1957,5.32995615110167,32.2564694247569
"168","CABRAMATTA","2164",14,0.0381294768091075,0.108434668112462
"169","CAMDEN","2567",16797,43.5946016091357,100
"170","CAMDEN","2570",14883,38.6270438619258,52.2247175240368
"171","CAMDEN","2557",6849,17.7757591487153,72.9470657151986
"172","CAMDEN","2566",1,0.0025953802232027,0.00880049282759835
"173","CAMPBELLTOWN","2560",38627,95.1661780285299,100
"174","CAMPBELLTOWN","2559",1506,3.71036487718347,99.9336429993364
"175","CAMPBELLTOWN","2563",453,1.11606592919264,100
"176","CAMPBELLTOWN","2557",3,0.00739116509399098,0.0319522845883481
"177","CANTERBURY","2194",11837,22.9310344827586,77.9211375156343
"178","CANTERBURY","2195",10390,20.1278574196048,77.9620319651835
"179","CANTERBURY","2206",8768,16.9856644711352,100
"180","CANTERBURY","2192",7564,14.6532351801627,100
"181","CANTERBURY","2193",5935,11.4974815962805,58.2662477910858
"182","CANTERBURY","2196",3762,7.28787291747385,24.6349289502979
"183","CANTERBURY","2208",2976,5.76520728399845,48.1319747695294
"184","CANTERBURY","2209",388,0.751646648585819,4.95024240877775
"185","CASTLE HILL","2154",19803,46.9410007822315,91.2412458532989
"186","CASTLE HILL","2153",10966,25.9937895560244,38.1851103837315
"187","CASTLE HILL","2156",4984,11.8140659444853,95.1508209240168
"188","CASTLE HILL","2125",4748,11.2546519069856,72.8779739063699
"189","CASTLE HILL","2158",1683,3.98938061488136,39.590684544813
"190","CASTLE HILL","2126",3,0.00711119539194539,0.039994667377683
"191","CESSNOCK","2325",17754,39.091089239712,99.8313090418354
"192","CESSNOCK","2285",7947,17.4978532267653,45.9603261812504
"193","CESSNOCK","2327",4379,9.64176409714424,100
"194","CESSNOCK","2326",3793,8.35149833762688,98.493897688912
"195","CESSNOCK","2321",2629,5.78858136821014,24.1192660550459
"196","CESSNOCK","2286",2118,4.66345201136138,100
"197","CESSNOCK","2334",1777,3.9126318338948,98.5033259423503
"198","CESSNOCK","2335",1660,3.65501904573177,36.7581930912312
"199","CESSNOCK","2320",1490,3.2807098663496,6.97043413173653
"200","CESSNOCK","2278",840,1.84952770988837,64.367816091954
"201","CESSNOCK","2323",746,1.64255675187705,5.36497662711255
"202","CESSNOCK","2322",160,0.352290992359689,1.23295060491639
"203","CESSNOCK","2250",124,0.273025519078759,0.2718225261958
"204","CHARLESTOWN","2290",17202,40.144690781797,89.7058823529412
"205","CHARLESTOWN","2289",8888,20.7421236872812,86.8902140971747
"206","CHARLESTOWN","2282",7304,17.0455075845974,87.0975435249225
"207","CHARLESTOWN","2305",4014,9.36756126021004,59.8657718120805
"208","CHARLESTOWN","2285",2750,6.41773628938156,15.9042276328726
"209","CHARLESTOWN","2306",1724,4.02333722287048,100
"210","CHARLESTOWN","2291",784,1.82963827304551,9.83935742971888
"211","CHARLESTOWN","2280",180,0.420070011668611,1.28838307923556
"212","CHARLESTOWN","2292",3,0.00700116686114352,0.133392618941752
"213","CHARLESTOWN","2303",1,0.00233372228704784,0.013428226131328
"214","CLARENCE","2460",19371,37.1234189344576,99.9432463110102
"215","CLARENCE","2470",8541,16.3683403602913,97.1672354948805
"216","CLARENCE","2464",6000,11.4986584898429,100
"217","CLARENCE","2463",5283,10.1245688003066,100
"218","CLARENCE","2473",2773,5.31429666538904,100
"219","CLARENCE","2462",2328,4.46147949405903,100
"220","CLARENCE","2469",1755,3.36335760827903,46.4777542372881
"221","CLARENCE","2466",1751,3.35569183595247,100
"222","CLARENCE","2471",1502,2.87849750862399,86.2227324913892
"223","CLARENCE","2472",1436,2.75201226523572,94.2875902823375
"224","CLARENCE","2450",526,1.00804906094289,1.73528635523885
"225","CLARENCE","2453",460,0.881563817554619,18.7449062754686
"226","CLARENCE","2465",235,0.450364124185512,100
"227","CLARENCE","2480",170,0.325795323878881,0.59553002171933
"228","CLARENCE","2370",42,0.0804906094289,0.777345918933926
"229","CLARENCE","2456",7,0.0134151015714833,0.0673206385843431
"230","COFFS HARBOUR","2450",29786,60.5185094883985,98.2647136447611
"231","COFFS HARBOUR","2456",10391,21.1121947255069,99.9326793614157
"232","COFFS HARBOUR","2452",9014,18.3144378073063,100
"233","COFFS HARBOUR","2454",16,0.0325084318745174,0.357382175563994
"234","COFFS HARBOUR","2460",11,0.0223495469137307,0.0567536889897843
"235","COOGEE","2031",23480,35.5122659487583,100
"236","COOGEE","2034",13470,20.37266704982,96.2005427796029
"237","COOGEE","2022",12058,18.2370912610787,91.8844776346872
"238","COOGEE","2024",6946,10.5054599352673,100
"239","COOGEE","2026",3915,5.92123173719713,15.7121643857607
"240","COOGEE","2032",3309,5.0046885870716,35.8971577348666
"241","COOGEE","2033",2940,4.44659548080704,37.7261645066085
"242","COOTAMUNDRA","2594",8313,14.3532986860507,100
"243","COOTAMUNDRA","2794",7256,12.5282732185714,100
"244","COOTAMUNDRA","2590",4768,8.23247060448573,100
"245","COOTAMUNDRA","2666",4645,8.02009772605625,100
"246","COOTAMUNDRA","2700",3524,6.08456929744289,92.6149802890933
